Capacity of Flows : ,23988
Size of IBLT : ,31064
Number of BF Hash Functions : ,7,Size of BF : ,229929
Epoch name,noOfMalFlows,totalBenignFlows,all_decodable_count,all_decodable_percent,all_undecodable_count,all_undecodable_percent,benign_decodable_count,benign_decodable_percent,benign_undecodable_count,benign_undecodable_percent,purecell_ben_collision,purecell_mal_collision,purecell_all_collision,completely_colliding_flows,completely_colliding_mal_flows,completely_colliding_ben_flows,non_colliding_flows,non_colliding_mal_flows,non_colliding_ben_flows,collisions_by_benignflows,collisions_by_maliciousflows,collisions_by_allflows,cells_occupied_epochend,cells_occupied_epochend_percent,cells_occupied_decodeend,cells_occupied_decodeend_percent,purecell_count_before_decode,purecell_count_after_decode,no_of_benign_flows_classified_as_old,no_of_benign_flows_classified_as_new,no_of_malicious_flows_classified_as_old,no_of_malicious_flows_classified_as_new,total_flows_classified_as_old,total_flows_classified_as_new,catergory_of_flows,Pollution ?,pre_mit_decodable,pre_mit_undecodable,pre_mit_decodable_percent,pre_mit_undecodable_percent,NumberofSampledFlows,Sampled Flows after nonMitigated SD,Flows used for mitigation
_00179_20180315130150,470,23542,23985,99.88755622188906,27,0.11244377811094453,23515,99.88531135842325,27,0.11468864157675644,24792,444,25236,9169,7,9162,1923,155,1768,65794,540,66334,29606,95.30646407416945,0,0.0,4370,0,27,23515,0,470,27,23985,NORMAL,No,11146,12866,46.418457437947694,53.581542562052306,9169,6911,110
_00003_20180315130100,477,23858,24295,99.8356276967331,40,0.16437230326689953,23818,99.83234135300528,40,0.16765864699471875,25075,426,25501,9380,8,9372,1893,159,1734,67010,523,67533,29647,95.43844965233068,0,0.0,4146,0,40,23818,0,477,40,24295,NORMAL,No,11680,12655,47.996712553934664,52.003287446065336,9380,7412,299
_00036_20180315130110,477,23864,24294,99.80691015159607,47,0.19308984840392754,23817,99.80305062018103,47,0.19694937981897417,25113,396,25509,9438,2,9436,1908,164,1744,67059,482,67541,29635,95.39981972701518,0,0.0,4126,0,47,23817,0,477,47,24294,NORMAL,No,12057,12284,49.53370855757775,50.46629144242225,9438,7290,297
_00158_20180315130144,473,23698,24134,99.84692399983452,37,0.15307600016548756,23661,99.84386868090134,37,0.1561313190986581,24911,430,25341,9350,14,9336,1973,159,1814,66449,545,66994,29542,95.10043780582023,0,0.0,4201,0,37,23661,0,473,37,24134,NORMAL,No,12149,12022,50.262711513797534,49.73728848620247,9350,7187,214
_00109_20180315130130,476,23841,24278,99.83961837397706,39,0.16038162602294692,23802,99.8364162577073,39,0.16358374229268904,24987,419,25406,9445,6,9439,1910,172,1738,66964,514,67478,29634,95.39660056657225,0,0.0,4228,0,39,23802,0,476,39,24278,NORMAL,No,11292,13025,46.43664925772094,53.563350742279056,9445,7363,280
_00164_20180315130145,479,23953,24401,99.87311722331368,31,0.126882776686313,23922,99.87057988560932,31,0.12942011439068174,24958,447,25405,9591,3,9588,1949,152,1797,67466,544,68010,29594,95.26783414885398,0,0.0,4189,0,31,23922,0,479,31,24401,NORMAL,No,11886,12546,48.64931237721022,51.35068762278978,9591,7908,410
_00145_20180315130140,475,23753,24186,99.82664685487865,42,0.1733531451213472,23711,99.8231802298657,42,0.17681977013429884,24941,392,25333,9323,4,9319,1899,176,1723,66574,497,67071,29673,95.52214782384753,0,0.0,4340,0,42,23711,0,475,42,24186,NORMAL,No,10828,13400,44.6920917946178,55.307908205382205,9323,6686,72
_00197_20180315130155,473,23665,24090,99.80114342530449,48,0.19885657469550086,23617,99.79716881470526,48,0.20283118529473906,24884,436,25320,9220,7,9213,1904,148,1756,66225,561,66786,29574,95.20345093999485,0,0.0,4254,0,48,23617,0,473,48,24090,NORMAL,No,10380,13758,43.00273427790206,56.997265722097936,9220,6980,146
_00168_20180315130147,484,24219,24659,99.82188398170263,44,0.17811601829737278,24175,99.81832445600561,44,0.18167554399438457,25292,385,25677,9700,4,9696,1899,179,1720,68431,480,68911,29725,95.68954416688128,0,0.0,4048,0,44,24175,0,484,44,24659,SPIKE,No,12205,12498,49.40695462089625,50.59304537910375,9700,8088,633
_00015_20180315130104,486,24315,24756,99.81855570339906,45,0.18144429660094352,24270,99.8149290561382,45,0.1850709438618137,25207,401,25608,9830,8,9822,1937,179,1758,68803,510,69313,29711,95.64447592067988,0,0.0,4103,0,45,24270,0,486,45,24756,SPIKE,No,11672,13129,47.06261844280473,52.93738155719527,9830,8302,690
_00170_20180315130147,475,23769,24202,99.82676126051807,42,0.17323873948193366,23727,99.82329925533257,42,0.17670074466742397,25002,383,25385,9342,6,9336,1924,184,1740,66722,458,67180,29628,95.3772856039145,0,0.0,4243,0,42,23727,0,475,42,24202,NORMAL,No,11364,12880,46.87345322554034,53.12654677445966,9342,7187,259
_00169_20180315130147,479,23952,24382,99.79943514387458,49,0.20056485612541444,23903,99.79542418169672,49,0.2045758183032732,25086,413,25499,9624,8,9616,1916,172,1744,67398,503,67901,29627,95.37406644347153,0,0.0,4128,0,49,23903,0,479,49,24382,NORMAL,No,11279,13152,46.16675535180713,53.83324464819287,9624,7703,370
_00089_20180315130124,484,24244,24683,99.81802005823359,45,0.18197994176641863,24199,99.81438706484079,45,0.18561293515921465,25300,428,25728,9714,3,9711,1933,160,1773,68506,521,69027,29705,95.62516095802215,0,0.0,3977,0,45,24199,0,484,45,24683,SPIKE,No,12127,12601,49.041572306696864,50.95842769330314,9714,8145,637
_00035_20180315130109,480,24027,24466,99.83270086097849,41,0.16729913902150406,23986,99.8293586381987,41,0.17064136180130687,25042,412,25454,9515,5,9510,1896,174,1722,67681,506,68187,29677,95.53502446561937,0,0.0,4223,0,41,23986,0,480,41,24466,SPIKE,No,12052,12455,49.17778593871139,50.822214061288605,9515,7697,402
_00006_20180315130101,479,23981,24423,99.84873262469338,37,0.15126737530662307,23944,99.84571118802386,37,0.1542888119761478,25098,432,25530,9538,8,9530,1930,171,1759,67532,519,68051,29641,95.41913468967293,0,0.0,4111,0,37,23944,0,479,37,24423,NORMAL,No,12076,12384,49.37040065412919,50.629599345870815,9538,7761,473
_00102_20180315130128,476,23839,24263,99.78614024264857,52,0.21385975735142915,23787,99.78187004488444,52,0.2181299551155669,24981,408,25389,9457,4,9453,1905,182,1723,66990,484,67474,29578,95.21632758176668,0,0.0,4189,0,52,23787,0,476,52,24263,NORMAL,No,11099,13216,45.646720131606,54.353279868394,9457,7632,379
_00053_20180315130114,482,24129,24577,99.86185039210109,34,0.13814960789890698,24095,99.85909072070952,34,0.14090927929048033,25272,419,25691,9787,6,9781,1942,176,1766,68137,505,68642,29666,95.49961370074685,0,0.0,3975,0,34,24095,0,482,34,24577,SPIKE,No,12256,12355,49.79887042379424,50.20112957620576,9787,8141,614
_00195_20180315130154,483,24158,24594,99.80926098778458,47,0.19073901221541334,24111,99.80544747081711,47,0.19455252918287938,25213,381,25594,9692,4,9688,1930,166,1764,68284,477,68761,29615,95.33543651815607,0,0.0,4021,0,47,24111,0,483,47,24594,SPIKE,No,11819,12822,47.96477415689298,52.035225843107014,9692,8019,596
