Capacity of Flows : ,24800
Size of IBLT : ,32116
Number of BF Hash Functions : ,7,Size of BF : ,237713
Epoch name,noOfMalFlows,totalBenignFlows,all_decodable_count,all_decodable_percent,all_undecodable_count,all_undecodable_percent,benign_decodable_count,benign_decodable_percent,benign_undecodable_count,benign_undecodable_percent,purecell_ben_collision,purecell_mal_collision,purecell_all_collision,completely_colliding_flows,completely_colliding_mal_flows,completely_colliding_ben_flows,non_colliding_flows,non_colliding_mal_flows,non_colliding_ben_flows,collisions_by_benignflows,collisions_by_maliciousflows,collisions_by_allflows,cells_occupied_epochend,cells_occupied_epochend_percent,cells_occupied_decodeend,cells_occupied_decodeend_percent,purecell_count_before_decode,purecell_count_after_decode,no_of_benign_flows_classified_as_old,no_of_benign_flows_classified_as_new,no_of_malicious_flows_classified_as_old,no_of_malicious_flows_classified_as_new,total_flows_classified_as_old,total_flows_classified_as_new,catergory_of_flows,Pollution ?,pre_mit_decodable,pre_mit_undecodable,pre_mit_decodable_percent,pre_mit_undecodable_percent,NumberofSampledFlows,Sampled Flows after nonMitigated SD,Flows used for mitigation
_00174_20180315130148,947,23699,24597,99.80118477643431,49,0.19881522356569015,23650,99.79324022110637,49,0.20675977889362418,25008,1101,26109,9351,75,9276,1989,186,1803,66271,1640,67911,30477,94.89662473533441,0,0.0,4368,0,49,23650,0,947,49,24597,NORMAL,No,0,0,0.0,0.0,1037,0,0
_00142_20180315130139,959,23991,24916,99.86372745490982,34,0.13627254509018036,23957,99.85828018840398,34,0.14171981159601518,25103,1100,26203,9605,73,9532,1988,197,1791,67586,1626,69212,30452,94.8187819155561,0,0.0,4249,0,34,23957,0,959,34,24916,NORMAL,No,12289,12661,49.254509018036075,50.745490981963925,1356,893,240
_00004_20180315130101,950,23757,24674,99.86643461367224,33,0.13356538632776138,23724,99.86109357242076,33,0.1389064275792398,24897,1103,26000,9426,67,9359,1959,166,1793,66577,1674,68251,30445,94.79698592601818,0,0.0,4445,0,33,23724,0,950,33,24674,NORMAL,No,12344,12363,49.9615493584814,50.038450641518594,1114,558,8
_00058_20180315130116,962,24053,24973,99.83210073955627,42,0.16789926044373377,24011,99.825385606785,42,0.17461439321498357,25070,1134,26204,9754,103,9651,1973,181,1792,67720,1733,69453,30439,94.7783036492714,0,0.0,4235,0,42,24011,0,962,42,24973,NORMAL,No,11913,13102,47.623425944433336,52.376574055566664,1413,910,253
_00064_20180315130117,949,23735,24647,99.85010533138875,37,0.14989466861124615,23698,99.84411207078155,37,0.15588792921845376,24949,1104,26053,9429,77,9352,1948,191,1757,66555,1621,68176,30412,94.69423340391081,0,0.0,4359,0,37,23698,0,949,37,24647,NORMAL,No,11218,13466,45.44644304002593,54.55355695997407,1087,625,27
_00066_20180315130118,965,24135,25058,99.83266932270917,42,0.16733067729083664,24093,99.82597886886265,42,0.1740211311373524,25209,1102,26311,9746,74,9672,1993,179,1814,67972,1681,69653,30579,95.21422344002988,0,0.0,4268,0,42,24093,0,965,42,25058,NORMAL,No,11831,13269,47.13545816733068,52.86454183266932,1498,945,188
_00001_20180315130100,955,23880,24798,99.8510167102879,37,0.14898328971209984,23843,99.84505862646567,37,0.15494137353433834,24986,1137,26123,9539,87,9452,1989,188,1801,66994,1724,68718,30474,94.88728359696101,0,0.0,4351,0,37,23843,0,955,37,24798,NORMAL,No,12238,12597,49.277229716126435,50.722770283873565,1238,750,127
_00204_20180315130157,951,23779,24691,99.8422968054994,39,0.15770319450060655,23740,99.8359897388452,39,0.16401026115480047,24926,1121,26047,9426,78,9348,1967,186,1781,66696,1632,68328,30436,94.76896251089799,0,0.0,4389,0,39,23740,0,951,39,24691,NORMAL,No,11654,13076,47.124949454104325,52.875050545895675,1131,709,167
_00108_20180315130130,950,23772,24683,99.84224577299571,39,0.15775422700428768,23733,99.8359414437153,39,0.1640585562847047,24956,1103,26059,9383,59,9324,1961,197,1764,66720,1561,68281,30451,94.81566820276498,0,0.0,4392,0,39,23733,0,950,39,24683,NORMAL,No,11808,12914,47.76312596068279,52.23687403931721,1123,594,1
_00178_20180315130149,949,23730,24639,99.83791887839864,40,0.16208112160136148,23690,99.8314369995786,40,0.1685630004214075,24904,1164,26068,9446,85,9361,1984,166,1818,66392,1750,68142,30414,94.70046082949308,0,0.0,4346,0,40,23690,0,949,40,24639,NORMAL,No,12011,12668,48.66890878884882,51.33109121115118,1079,588,45
_00201_20180315130156,954,23862,24773,99.82672469374597,43,0.17327530625402965,23819,99.81979716704383,43,0.18020283295616463,24944,1181,26125,9603,79,9524,2047,174,1873,66958,1706,68664,30428,94.74405280856894,0,0.0,4303,0,43,23819,0,954,43,24773,NORMAL,No,12143,12673,48.93214055448098,51.06785944551901,1213,770,121
_00053_20180315130114,965,24129,25046,99.80871921574878,48,0.19128078425121542,24081,99.80106925276638,48,0.19893074723361928,25074,1131,26205,9837,81,9756,2041,202,1839,68097,1656,69753,30431,94.75339394694234,0,0.0,4226,0,48,24081,0,965,48,25046,NORMAL,No,11717,13377,46.6924364389894,53.307563561010596,1486,966,315
_00014_20180315130103,982,24564,25502,99.82776168480389,44,0.17223831519611682,24520,99.82087607881452,44,0.17912392118547468,25336,1123,26459,10203,89,10114,2009,190,1819,69712,1730,71442,30566,95.17374517374517,0,0.0,4107,0,44,24520,0,982,44,25502,NORMAL,No,13218,12328,51.741955687778905,48.258044312221095,1942,1331,494
_00214_20180315130159,353,8836,9189,100.0,0,0.0,8836,100.0,0,0.0,10074,353,10427,610,10,600,1871,120,1751,14891,423,15314,21442,66.76422966745548,0,0.0,11015,0,0,8836,0,353,0,9189,DROP,No,0,0,0.0,0.0,0,0,0
_00022_20180315130106,971,24283,25201,99.79013225627624,53,0.20986774372376654,24230,99.78174031215254,53,0.2182596878474653,25094,1189,26283,9858,94,9764,1955,175,1780,68481,1800,70281,30523,95.03985552372649,0,0.0,4240,0,53,24230,0,971,53,25201,NORMAL,No,12398,12856,49.093212956363345,50.90678704363665,1641,1084,452
_00105_20180315130129,947,23696,24598,99.81739236294283,45,0.18260763705717648,23651,99.81009453072248,45,0.1899054692775152,24882,1074,25956,9400,72,9328,2009,192,1817,66376,1614,67990,30402,94.66309627599951,0,0.0,4446,0,45,23651,0,947,45,24598,NORMAL,No,11360,13283,46.09828348821166,53.90171651178834,1038,552,2
_00076_20180315130121,957,23931,24848,99.8392799742848,40,0.16072002571520413,23891,99.83285278509047,40,0.16714721490953158,24961,1133,26094,9598,90,9508,1992,183,1809,67240,1677,68917,30475,94.89039730975215,0,0.0,4381,0,40,23891,0,957,40,24848,NORMAL,No,11888,13000,47.76599164255867,52.23400835744134,1288,806,186
_00192_20180315130153,954,23873,24789,99.8469408305474,38,0.15305916945261208,23835,99.84082436225023,38,0.15917563774975915,25001,1127,26128,9548,71,9477,2027,187,1840,67009,1628,68637,30519,95.02740067256197,0,0.0,4391,0,38,23835,0,954,38,24789,NORMAL,No,12048,12779,48.52781246223869,51.47218753776131,1229,686,37
_00153_20180315130142,952,23810,24720,99.83038526774897,42,0.1696147322510298,23768,99.82360352792944,42,0.17639647207055859,24930,1127,26057,9520,89,9431,2055,190,1865,66805,1668,68473,30407,94.67866483995516,0,0.0,4350,0,42,23768,0,952,42,24720,NORMAL,No,11507,13255,46.470398190776194,53.52960180922381,1160,680,120
