method,baseline_pct,malicious_pct,z_threshold,tp,fp,tn,fn,precision,recall,f1,accuracy
cosine,30.0,1.0,nan,7,4,77,63,0.6363636363636364,0.1,0.17283950617283952,0.5562913907284768
cosine,30.0,10.0,nan,31,9,111,0,0.775,1.0,0.8732394366197184,0.9403973509933775
cosine,30.0,2.0,nan,5,6,105,35,0.45454545454545453,0.125,0.196078431372549,0.7284768211920529
cosine,30.0,3.0,nan,5,9,122,15,0.35714285714285715,0.25,0.2941176470588235,0.8410596026490066
cosine,30.0,5.0,nan,61,8,82,0,0.8840579710144928,1.0,0.9384615384615386,0.9470198675496688
cosine,30.0,7.0,nan,50,6,95,0,0.8928571428571429,1.0,0.9433962264150945,0.9602649006622517
