_00179_20180315130150.txt,0,33280
_00003_20180315130100.txt,0,33280
_00036_20180315130110.txt,0,33280
_00158_20180315130144.txt,0,33280
_00109_20180315130130.txt,0,33280
_00164_20180315130145.txt,0,33280
_00145_20180315130140.txt,0,33280
_00197_20180315130155.txt,0,256
_00168_20180315130147.txt,0,33280
_00015_20180315130104.txt,0,2
_00170_20180315130147.txt,0,0
_00169_20180315130147.txt,0,0
_00214_20180315130159.txt,10,0
_00064_20180315130117.txt,0,0
_00001_20180315130100.txt,0,0
_00077_20180315130121.txt,0,0
_00073_20180315130120.txt,0,0
_00105_20180315130129.txt,10,0
_00076_20180315130121.txt,10,0
_00061_20180315130117.txt,0,0
_00165_20180315130146.txt,10,0
_00022_20180315130106.txt,10,0
_00177_20180315130149.txt,0,0
_00192_20180315130153.txt,0,0
_00105_20180315130129.txt,0,0
_00084_20180315130123.txt,0,0
_00186_20180315130152.txt,10,0
_00152_20180315130142.txt,0,0
_00173_20180315130148.txt,0,0
_00108_20180315130130.txt,0,0
_00004_20180315130101.txt,0,0
_00149_20180315130141.txt,0,0
_00212_20180315130159.txt,10,0
_00029_20180315130108.txt,0,0
_00070_20180315130119.txt,0,0
_00174_20180315130148.txt,0,0
_00006_20180315130101.txt,0,0
_00179_20180315130150.txt,0,0
_00197_20180315130155.txt,0,0
_00193_20180315130154.txt,0,0
_00123_20180315130134.txt,0,0
_00205_20180315130157.txt,0,0
_00157_20180315130143.txt,0,0
_00048_20180315130113.txt,0,0
_00086_20180315130124.txt,0,0
_00142_20180315130139.txt,0,0
_00154_20180315130143.txt,0,0
_00143_20180315130140.txt,0,0
_00178_20180315130149.txt,0,0
_00204_20180315130157.txt,0,0
_00034_20180315130109.txt,0,0
_00024_20180315130106.txt,0,0
_00201_20180315130156.txt,0,0
_00016_20180315130104.txt,0,0
_00032_20180315130108.txt,10,0
_00122_20180315130134.txt,0,0
_00058_20180315130116.txt,0,0
_00014_20180315130103.txt,0,0
_00046_20180315130112.txt,0,0
_00081_20180315130122.txt,0,0
_00147_20180315130141.txt,0,0
_00049_20180315130113.txt,10,0
_00041_20180315130111.txt,10,0
_00214_20180315130159.txt,0,0
_00100_20180315130128.txt,10,0
_00211_20180315130159.txt,10,0
_00063_20180315130117.txt,0,0
_00076_20180315130121.txt,0,0
_00031_20180315130108.txt,10,0
_00087_20180315130124.txt,10,0
_00115_20180315130132.txt,10,0
_00207_20180315130157.txt,10,0
_00156_20180315130143.txt,10,0
_00132_20180315130136.txt,10,0
_00177_20180315130149.txt,10,0
_00188_20180315130152.txt,10,0
_00156_20180315130143.txt,0,0
_00106_20180315130129.txt,10,0
_00040_20180315130111.txt,0,0
_00023_20180315130106.txt,10,0
_00084_20180315130123.txt,10,0
_00079_20180315130122.txt,10,0
_00169_20180315130147.txt,10,0
_00192_20180315130153.txt,10,0
