Capacity of Flows : ,23988
Size of IBLT : ,31064
Number of BF Hash Functions : ,7,Size of BF : ,229929
Epoch name,noOfMalFlows,totalBenignFlows,all_decodable_count,all_decodable_percent,all_undecodable_count,all_undecodable_percent,benign_decodable_count,benign_decodable_percent,benign_undecodable_count,benign_undecodable_percent,purecell_ben_collision,purecell_mal_collision,purecell_all_collision,completely_colliding_flows,completely_colliding_mal_flows,completely_colliding_ben_flows,non_colliding_flows,non_colliding_mal_flows,non_colliding_ben_flows,collisions_by_benignflows,collisions_by_maliciousflows,collisions_by_allflows,cells_occupied_epochend,cells_occupied_epochend_percent,cells_occupied_decodeend,cells_occupied_decodeend_percent,purecell_count_before_decode,purecell_count_after_decode,no_of_benign_flows_classified_as_old,no_of_benign_flows_classified_as_new,no_of_malicious_flows_classified_as_old,no_of_malicious_flows_classified_as_new,total_flows_classified_as_old,total_flows_classified_as_new,catergory_of_flows,Pollution ?,pre_mit_decodable,pre_mit_undecodable,pre_mit_decodable_percent,pre_mit_undecodable_percent,NumberofSampledFlows,Sampled Flows after nonMitigated SD,Flows used for mitigation
_00179_20180315130150,21,23542,23539,99.89814539744515,24,0.10185460255485294,23518,99.89805454082065,24,0.10194545917933905,24973,1,24974,8794,0,8794,1929,20,1909,64547,1,64548,29608,95.31290239505536,0,0.0,4634,0,24,23518,0,21,24,23539,NORMAL,No,0,0,0.0,0.0,8794,0,0
_00003_20180315130100,21,23858,23843,99.8492399179195,36,0.15076008208048913,23822,99.84910721770476,36,0.15089278229524689,25228,2,25230,8990,0,8990,1911,19,1892,65719,2,65721,29651,95.4513262941025,0,0.0,4421,0,36,23822,0,21,36,23843,NORMAL,No,0,0,0.0,0.0,8990,0,0
_00036_20180315130110,21,23864,23845,99.83253087711952,40,0.16746912288046892,23824,99.83238350653704,40,0.16761649346295676,25229,1,25230,8999,0,8999,1945,20,1925,65739,1,65740,29640,95.41591552922998,0,0.0,4410,0,40,23824,0,21,40,23845,NORMAL,No,0,0,0.0,0.0,8999,0,0
_00158_20180315130144,21,23698,23686,99.86087103166238,33,0.13912896833761962,23665,99.86074774242553,33,0.13925225757447887,25074,1,25075,8962,0,8962,1972,19,1953,65200,2,65202,29542,95.10043780582023,0,0.0,4467,0,33,23665,0,21,33,23686,NORMAL,No,0,0,0.0,0.0,8962,0,0
_00109_20180315130130,21,23841,23825,99.84494174838655,37,0.15505825161344397,23804,99.84480516756847,37,0.15519483243152551,25123,1,25124,9057,0,9057,1932,20,1912,65662,1,65663,29637,95.4062580479011,0,0.0,4513,0,37,23804,0,21,37,23825,NORMAL,No,0,0,0.0,0.0,9057,0,0
_00164_20180315130145,21,23953,23945,99.87903562192375,29,0.12096437807624927,23924,99.87892957040872,29,0.12107042959128293,25154,1,25155,9198,0,9198,1960,20,1940,66180,1,66181,29599,95.28392995106876,0,0.0,4444,0,29,23924,0,21,29,23945,NORMAL,No,11233,12741,46.85492617001752,53.14507382998248,9198,6750,23
_00145_20180315130140,21,23753,23736,99.84016152098931,38,0.15983847901068393,23715,99.84002020797374,38,0.15997979202627038,25085,0,25085,8942,0,8942,1928,21,1907,65267,0,65267,29677,95.53502446561937,0,0.0,4592,0,38,23715,0,21,38,23736,NORMAL,No,0,0,0.0,0.0,8942,0,0
_00197_20180315130155,21,23665,23643,99.81845816093895,43,0.1815418390610487,23622,99.81829706317346,43,0.1817029368265371,25070,1,25071,8854,0,8854,1936,20,1916,64990,1,64991,29581,95.22598506309554,0,0.0,4510,0,43,23622,0,21,43,23643,NORMAL,No,0,0,0.0,0.0,8854,0,0
_00168_20180315130147,21,24219,24201,99.8391089108911,39,0.1608910891089109,24180,99.8389694041868,39,0.1610305958132045,25435,1,25436,9318,0,9318,1911,20,1891,67071,1,67072,29732,95.71207828998197,0,0.0,4296,0,39,24180,0,21,39,24201,SPIKE,No,11179,13061,46.117986798679866,53.882013201320134,9318,7300,249
_00015_20180315130104,21,24315,24293,99.8233070348455,43,0.1766929651545036,24272,99.82315443142093,43,0.17684556857906641,25354,2,25356,9429,0,9429,1963,19,1944,67455,2,67457,29715,95.65735256245172,0,0.0,4359,0,43,24272,0,21,43,24293,SPIKE,No,11107,13229,45.64020381328074,54.359796186719265,9429,7310,220
_00170_20180315130147,21,23769,23753,99.84447246742329,37,0.1555275325767129,23732,99.84433505826917,37,0.15566494173082587,25104,4,25108,8957,0,8957,1928,17,1911,65375,4,65379,29633,95.39338140612928,0,0.0,4525,0,37,23732,0,21,37,23753,NORMAL,No,0,0,0.0,0.0,8957,0,0
