Capacity of Flows : ,23988
Size of IBLT : ,31064
Number of BF Hash Functions : ,7,Size of BF : ,229929
Epoch name,noOfMalFlows,totalBenignFlows,all_decodable_count,all_decodable_percent,all_undecodable_count,all_undecodable_percent,benign_decodable_count,benign_decodable_percent,benign_undecodable_count,benign_undecodable_percent,purecell_ben_collision,purecell_mal_collision,purecell_all_collision,completely_colliding_flows,completely_colliding_mal_flows,completely_colliding_ben_flows,non_colliding_flows,non_colliding_mal_flows,non_colliding_ben_flows,collisions_by_benignflows,collisions_by_maliciousflows,collisions_by_allflows,cells_occupied_epochend,cells_occupied_epochend_percent,cells_occupied_decodeend,cells_occupied_decodeend_percent,purecell_count_before_decode,purecell_count_after_decode,no_of_benign_flows_classified_as_old,no_of_benign_flows_classified_as_new,no_of_malicious_flows_classified_as_old,no_of_malicious_flows_classified_as_new,total_flows_classified_as_old,total_flows_classified_as_new,catergory_of_flows,Pollution ?,pre_mit_decodable,pre_mit_undecodable,pre_mit_decodable_percent,pre_mit_undecodable_percent,NumberofSampledFlows,Sampled Flows after nonMitigated SD,Flows used for mitigation
_00179_20180315130150,941,23542,24456,99.88971939713271,27,0.11028060286729569,23515,99.88531135842325,27,0.11468864157675644,24407,1098,25505,9567,63,9504,1929,202,1727,66482,1560,68042,29782,95.8730363121298,0,0.0,4277,0,27,23515,0,941,27,24456,NORMAL,No,11191,13292,45.709267655107624,54.290732344892376,9567,7567,321
_00003_20180315130100,954,23858,24772,99.83878768337901,40,0.16121231662098987,23818,99.83234135300528,40,0.16765864699471875,24682,1047,25729,9770,68,9702,1933,195,1738,67646,1624,69270,29818,95.98892608807623,0,0.0,4089,0,40,23818,0,954,40,24772,NORMAL,No,11112,13700,44.78478155731098,55.21521844268902,9770,8124,579
_00036_20180315130110,954,23864,24766,99.79047465549198,52,0.20952534450801838,23812,99.78209855849815,52,0.2179014415018438,24652,1080,25732,9760,78,9682,1933,174,1759,67589,1677,69266,29798,95.9245428792171,0,0.0,4066,0,52,23812,0,954,52,24766,NORMAL,No,12638,12180,50.922717382544924,49.07728261745507,9760,8097,606
_00158_20180315130144,947,23698,24603,99.82958003651856,42,0.1704199634814364,23656,99.82276985399612,42,0.1772301460038822,24456,1091,25547,9746,79,9667,1994,179,1815,67033,1652,68685,29727,95.6959824877672,0,0.0,4180,0,42,23656,0,947,42,24603,NORMAL,No,11714,12931,47.530939338608235,52.469060661391765,9746,7916,429
_00109_20180315130130,953,23841,24747,99.81043800919576,47,0.1895619908042268,23794,99.80286061826266,47,0.19713938173734324,24601,1062,25663,9835,83,9752,1935,211,1724,67622,1564,69186,29802,95.93741952098893,0,0.0,4139,0,47,23794,0,953,47,24747,NORMAL,No,12332,12462,49.7378397999516,50.2621602000484,9835,8035,546
_00164_20180315130145,958,23953,24877,99.86351411023243,34,0.13648588976757256,23919,99.85805535841023,34,0.14194464158977999,24622,1064,25686,9988,82,9906,1965,201,1764,68072,1670,69742,29766,95.82152974504248,0,0.0,4080,0,34,23919,0,958,34,24877,NORMAL,No,11371,13540,45.64650154550199,54.353498454498016,9988,8508,713
_00145_20180315130140,950,23753,24657,99.81378779905275,46,0.18621220094725338,23707,99.80634025175767,46,0.19365974824232726,24518,1075,25593,9726,81,9645,1918,185,1733,67149,1638,68787,29841,96.06296677826423,0,0.0,4248,0,46,23707,0,950,46,24657,NORMAL,No,11803,12900,47.77962190827025,52.22037809172975,9726,7850,401
_00197_20180315130155,946,23665,24557,99.78058591686644,54,0.21941408313355817,23611,99.77181491654342,54,0.22818508345658148,24558,1038,25596,9610,68,9542,1934,195,1739,66870,1594,68464,29764,95.81509142415658,0,0.0,4168,0,54,23611,0,946,54,24557,NORMAL,No,12636,11975,51.34289545325261,48.65710454674739,9610,7709,406
_00168_20180315130147,968,24219,25132,99.7816333823004,55,0.21836661769960697,24164,99.77290557000703,55,0.2270944299929807,24826,1133,25959,10107,74,10033,1907,195,1712,68982,1660,70642,29886,96.20782899819727,0,0.0,3927,0,55,24164,0,968,55,25132,SPIKE,No,11699,13488,46.448564735776394,53.55143526422361,10107,8805,966
_00015_20180315130104,972,24315,25236,99.79831533989797,51,0.2016846601020287,24264,99.79025293028995,51,0.20974706971005555,24866,1051,25917,10251,62,10189,1963,214,1749,69488,1582,71070,29874,96.1691990728818,0,0.0,3957,0,51,24264,0,972,51,25236,SPIKE,No,11915,13372,47.119073041483766,52.88092695851624,10251,8916,998
