Capacity of Flows : ,23988
Size of IBLT : ,31064
Number of BF Hash Functions : ,7,Size of BF : ,229929
Epoch name,noOfMalFlows,totalBenignFlows,all_decodable_count,all_decodable_percent,all_undecodable_count,all_undecodable_percent,benign_decodable_count,benign_decodable_percent,benign_undecodable_count,benign_undecodable_percent,purecell_ben_collision,purecell_mal_collision,purecell_all_collision,completely_colliding_flows,completely_colliding_mal_flows,completely_colliding_ben_flows,non_colliding_flows,non_colliding_mal_flows,non_colliding_ben_flows,collisions_by_benignflows,collisions_by_maliciousflows,collisions_by_allflows,cells_occupied_epochend,cells_occupied_epochend_percent,cells_occupied_decodeend,cells_occupied_decodeend_percent,purecell_count_before_decode,purecell_count_after_decode,no_of_benign_flows_classified_as_old,no_of_benign_flows_classified_as_new,no_of_malicious_flows_classified_as_old,no_of_malicious_flows_classified_as_new,total_flows_classified_as_old,total_flows_classified_as_new,catergory_of_flows,Pollution ?,pre_mit_decodable,pre_mit_undecodable,pre_mit_decodable_percent,pre_mit_undecodable_percent,NumberofSampledFlows,Sampled Flows after nonMitigated SD,Flows used for mitigation
_00179_20180315130150,117,23542,23634,99.89433196669344,25,0.1056680333065641,23517,99.89380681335486,25,0.10619318664514485,25005,35,25040,8890,0,8890,1945,86,1859,64871,37,64908,29628,95.3772856039145,0,0.0,4588,0,25,23517,0,117,25,23634,NORMAL,No,0,0,0.0,0.0,8890,0,0
_00003_20180315130100,119,23858,23938,99.83734412144972,39,0.16265587855027736,23819,99.83653281918015,39,0.1634671808198508,25253,32,25285,9070,0,9070,1923,90,1833,66054,34,66088,29664,95.49317537986093,0,0.0,4379,0,39,23819,0,119,39,23938,NORMAL,No,0,0,0.0,0.0,9070,0,0
_00036_20180315130110,119,23864,23938,99.81236709335779,45,0.1876329066422049,23819,99.81143144485416,45,0.18856855514582635,25247,32,25279,9084,0,9084,1951,89,1862,66069,32,66101,29651,95.4513262941025,0,0.0,4372,0,45,23819,0,119,45,23938,NORMAL,No,0,0,0.0,0.0,9084,0,0
_00158_20180315130144,118,23698,23783,99.86143768894861,33,0.13856231105139402,23665,99.86074774242553,33,0.13925225757447887,25099,39,25138,9053,0,9053,1979,85,1894,65530,42,65572,29560,95.15838269379347,0,0.0,4422,0,33,23665,0,118,33,23783,NORMAL,No,0,0,0.0,0.0,9053,0,0
_00109_20180315130130,119,23841,23923,99.84557595993321,37,0.15442404006677796,23804,99.84480516756847,37,0.15519483243152551,25151,30,25181,9117,0,9117,1938,91,1847,66007,30,66037,29655,95.46420293587433,0,0.0,4474,0,37,23804,0,119,37,23923,NORMAL,No,0,0,0.0,0.0,9117,0,0
_00164_20180315130145,119,23953,24042,99.8753738783649,30,0.12462612163509472,23923,99.87475472800902,30,0.12524527199098234,25195,23,25218,9276,0,9276,1957,95,1862,66524,27,66551,29617,95.34187483904198,0,0.0,4399,0,30,23923,0,119,30,24042,NORMAL,No,11074,12998,46.003655699567965,53.99634430043204,9276,6971,76
_00145_20180315130140,118,23753,23831,99.83243265887478,40,0.1675673411252147,23713,99.83160021891972,40,0.16839978108028458,25100,30,25130,9036,0,9036,1932,90,1842,65598,32,65630,29694,95.58975019314963,0,0.0,4564,0,40,23713,0,118,40,23831,NORMAL,No,0,0,0.0,0.0,9036,0,0
_00197_20180315130155,118,23665,23739,99.81499390320818,44,0.18500609679182609,23621,99.81407141347982,44,0.1859285865201775,25089,34,25123,8917,0,8917,1917,87,1830,65313,35,65348,29608,95.31290239505536,0,0.0,4485,0,44,23621,0,118,44,23739,NORMAL,No,0,0,0.0,0.0,8917,0,0
_00168_20180315130147,121,24219,24299,99.83155299917831,41,0.1684470008216927,24178,99.83071142491433,41,0.16928857508567652,25448,33,25481,9413,0,9413,1901,87,1814,67418,35,67453,29743,95.7474890548545,0,0.0,4262,0,41,24178,0,121,41,24299,SPIKE,No,11868,12472,48.759244042728014,51.24075595727198,9413,7490,283
_00015_20180315130104,121,24315,24391,99.81584547389099,45,0.18415452610901947,24270,99.8149290561382,45,0.1850709438618137,25375,32,25407,9511,0,9511,1978,91,1887,67798,34,67832,29732,95.71207828998197,0,0.0,4325,0,45,24270,0,121,45,24391,SPIKE,No,12453,11983,50.96169585856932,49.03830414143068,9511,7537,295
_00170_20180315130147,118,23769,23848,99.8367312764265,39,0.16326872357349187,23730,99.83592073709453,39,0.16407926290546512,25123,31,25154,9035,0,9035,1938,92,1846,65714,32,65746,29646,95.43523049188771,0,0.0,4492,0,39,23730,0,118,39,23848,NORMAL,No,0,0,0.0,0.0,9035,0,0
_00169_20180315130147,119,23952,24029,99.82551618129699,42,0.1744838187030036,23910,99.8246492985972,42,0.17535070140280562,25303,19,25322,9327,0,9327,1966,101,1865,66442,19,66461,29655,95.46420293587433,0,0.0,4333,0,42,23910,0,119,42,24029,NORMAL,No,11631,12440,48.31955465082464,51.68044534917535,9327,6604,63
_00089_20180315130124,121,24244,24321,99.81941309255079,44,0.1805869074492099,24200,99.8185117967332,44,0.18148820326678766,25471,34,25505,9433,0,9433,1959,89,1870,67518,37,67555,29729,95.7024208086531,0,0.0,4224,0,44,24200,0,121,44,24321,SPIKE,No,11767,12598,48.294684998973935,51.705315001026065,9433,7234,257
