Capacity of Flows : ,23988
Size of IBLT : ,31064
Number of BF Hash Functions : ,7,Size of BF : ,229929
Epoch name,noOfMalFlows,totalBenignFlows,all_decodable_count,all_decodable_percent,all_undecodable_count,all_undecodable_percent,benign_decodable_count,benign_decodable_percent,benign_undecodable_count,benign_undecodable_percent,purecell_ben_collision,purecell_mal_collision,purecell_all_collision,completely_colliding_flows,completely_colliding_mal_flows,completely_colliding_ben_flows,non_colliding_flows,non_colliding_mal_flows,non_colliding_ben_flows,collisions_by_benignflows,collisions_by_maliciousflows,collisions_by_allflows,cells_occupied_epochend,cells_occupied_epochend_percent,cells_occupied_decodeend,cells_occupied_decodeend_percent,purecell_count_before_decode,purecell_count_after_decode,no_of_benign_flows_classified_as_old,no_of_benign_flows_classified_as_new,no_of_malicious_flows_classified_as_old,no_of_malicious_flows_classified_as_new,total_flows_classified_as_old,total_flows_classified_as_new,catergory_of_flows,Pollution ?,pre_mit_decodable,pre_mit_undecodable,pre_mit_decodable_percent,pre_mit_undecodable_percent,NumberofSampledFlows,Sampled Flows after nonMitigated SD,Flows used for mitigation
_00179_20180315130150,2354,23542,25845,99.80305838739574,51,0.19694161260426318,23494,99.79610908164133,48,0.2038909183586781,23760,2479,26239,10696,847,9849,1928,190,1738,67017,6379,73396,29984,96.523306721607,0,0.0,3745,0,48,23494,3,2351,51,25845,NORMAL,No,12791,13105,49.39372876119864,50.60627123880136,10696,9633,1463
_00003_20180315130100,2385,23858,26173,99.7332622032542,70,0.2667377967457989,23790,99.71498030010898,68,0.2850196998910219,23756,2658,26414,11003,889,10114,1914,179,1735,68122,6567,74689,30003,96.58447077002317,0,0.0,3589,0,68,23790,2,2383,70,26173,NORMAL,No,12599,13644,48.008992874290286,51.99100712570971,11003,10024,1752
_00036_20180315130110,2386,23864,26187,99.76,63,0.24,23803,99.744384847469,61,0.2556151525310091,23854,2601,26455,11026,860,10166,1944,211,1733,68272,6468,74740,30008,96.60056657223795,0,0.0,3553,0,61,23803,2,2384,63,26187,NORMAL,No,13709,12541,52.224761904761905,47.775238095238095,11026,10046,1802
_00158_20180315130144,2369,23698,26011,99.78516898760886,56,0.21483101239114588,23646,99.78057220018567,52,0.21942779981433033,23691,2539,26230,10908,870,10038,1966,195,1771,67699,6419,74118,29926,96.33659541591553,0,0.0,3696,0,52,23646,4,2365,56,26011,NORMAL,No,12537,13530,48.095292899067786,51.904707100932214,10908,9943,1682
_00109_20180315130130,2384,23841,26159,99.7483317445186,66,0.25166825548141086,23780,99.74413824923451,61,0.25586175076548806,23954,2385,26339,11042,906,10136,1936,202,1734,68046,6570,74616,30020,96.63919649755344,0,0.0,3681,0,61,23780,5,2379,66,26159,NORMAL,No,13301,12924,50.71877979027646,49.28122020972355,11042,9965,1716
_00164_20180315130145,2395,23953,26291,99.78366479429178,57,0.21633520570821316,23900,99.77873335281593,53,0.2212666471840688,23763,2543,26306,11162,968,10194,1969,189,1780,68463,6743,75206,29958,96.43960855009014,0,0.0,3652,0,53,23900,4,2391,57,26291,NORMAL,No,12560,13788,47.66965234552907,52.330347654470934,11162,10228,1850
_00145_20180315130140,2375,23753,26049,99.6976423759951,79,0.30235762400489896,23680,99.69267039952848,73,0.3073296004715194,23899,2440,26339,10916,927,9989,1952,188,1764,67542,6616,74158,30038,96.69714138552665,0,0.0,3699,0,73,23680,6,2369,79,26049,NORMAL,No,12549,13579,48.028934476423764,51.97106552357624,10916,9849,1556
_00197_20180315130155,2366,23665,25960,99.72724828089585,71,0.27275171910414503,23595,99.70420452144518,70,0.2957954785548278,23743,2528,26271,10799,878,9921,1964,194,1770,67411,6458,73869,29971,96.48145763584857,0,0.0,3700,0,70,23595,1,2365,71,25960,NORMAL,No,12450,13581,47.82759018093811,52.17240981906188,10799,9736,1573
_00168_20180315130147,2421,24219,26569,99.73348348348348,71,0.26651651651651653,24150,99.71509971509973,69,0.2849002849002849,24086,2530,26616,11293,916,10377,1900,188,1712,69467,6743,76210,30066,96.78727787792944,0,0.0,3450,0,69,24150,2,2419,71,26569,SPIKE,No,13399,13241,50.29654654654655,49.703453453453456,11293,10459,2151
_00015_20180315130104,2431,24315,26663,99.68967322216406,83,0.3103267778359381,24239,99.6874357392556,76,0.31256426074439647,24121,2478,26599,11425,977,10448,1962,201,1761,69784,6802,76586,30066,96.78727787792944,0,0.0,3467,0,76,24239,7,2424,83,26663,SPIKE,No,13148,13598,49.15875271068571,50.841247289314296,11425,10604,2155
