Capacity of Flows : ,23988
Size of IBLT : ,31064
Number of BF Hash Functions : ,7,Size of BF : ,229929
Epoch name,noOfMalFlows,totalBenignFlows,all_decodable_count,all_decodable_percent,all_undecodable_count,all_undecodable_percent,benign_decodable_count,benign_decodable_percent,benign_undecodable_count,benign_undecodable_percent,purecell_ben_collision,purecell_mal_collision,purecell_all_collision,completely_colliding_flows,completely_colliding_mal_flows,completely_colliding_ben_flows,non_colliding_flows,non_colliding_mal_flows,non_colliding_ben_flows,collisions_by_benignflows,collisions_by_maliciousflows,collisions_by_allflows,cells_occupied_epochend,cells_occupied_epochend_percent,cells_occupied_decodeend,cells_occupied_decodeend_percent,purecell_count_before_decode,purecell_count_after_decode,no_of_benign_flows_classified_as_old,no_of_benign_flows_classified_as_new,no_of_malicious_flows_classified_as_old,no_of_malicious_flows_classified_as_new,total_flows_classified_as_old,total_flows_classified_as_new,catergory_of_flows,Pollution ?,pre_mit_decodable,pre_mit_undecodable,pre_mit_decodable_percent,pre_mit_undecodable_percent,NumberofSampledFlows,Sampled Flows after nonMitigated SD,Flows used for mitigation
_00179_20180315130150,1412,23542,24915,99.84371243087281,39,0.15628756912719402,23503,99.83433862883358,39,0.16566137116642596,24039,1695,25734,9953,269,9684,1933,182,1751,66709,3139,69848,29812,95.96961112541848,0,0.0,4078,0,39,23503,0,1412,39,24915,NORMAL,No,12006,12948,48.11252704977158,51.88747295022842,9953,8516,758
_00003_20180315130100,1431,23858,25240,99.8062398671359,49,0.1937601328640911,23809,99.79461815743147,49,0.20538184256853045,24353,1649,26002,10203,232,9971,1936,218,1718,68034,3028,71062,29898,96.24645892351275,0,0.0,3896,0,49,23809,0,1431,49,25240,NORMAL,No,12226,13063,48.34513029380363,51.65486970619637,10203,8848,1011
_00036_20180315130110,1431,23864,25239,99.77861237398696,56,0.22138762601304607,23808,99.76533690915186,56,0.23466309084813944,24308,1696,26004,10167,274,9893,1943,208,1735,67993,3105,71098,29858,96.1176925057945,0,0.0,3854,0,56,23808,0,1431,56,25239,NORMAL,No,12193,13102,48.20320221387626,51.79679778612374,10167,8838,953
_00158_20180315130144,1421,23698,25076,99.82881484135515,43,0.1711851586448505,23655,99.81855008861508,43,0.181449911384927,24067,1730,25797,10112,248,9864,1953,169,1784,67387,3135,70522,29782,95.8730363121298,0,0.0,3985,0,43,23655,0,1421,43,25076,NORMAL,No,12694,12425,50.53545125204029,49.46454874795971,10112,8805,909
_00109_20180315130130,1430,23841,25217,99.78631633097226,54,0.2136836690277393,23787,99.77349943374858,54,0.22650056625141565,24218,1664,25882,10242,258,9984,1943,201,1742,67891,3125,71016,29852,96.09837754313675,0,0.0,3970,0,54,23787,0,1430,54,25217,NORMAL,No,13790,11481,54.56847770171343,45.43152229828657,10242,8797,1002
_00164_20180315130145,1437,23953,25342,99.81094919259552,48,0.18905080740448996,23905,99.79960756481444,48,0.20039243518557176,24182,1721,25903,10345,246,10099,1954,199,1755,68386,3122,71508,29860,96.1241308266804,0,0.0,3957,0,48,23905,0,1437,48,25342,NORMAL,No,12488,12902,49.18471839306814,50.81528160693186,10345,9136,1083
_00145_20180315130140,1425,23753,25129,99.80538565414251,49,0.19461434585749465,23705,99.79792026270366,48,0.20207973729634154,24108,1722,25830,10114,275,9839,1920,158,1762,67392,3205,70597,29919,96.31406129281484,0,0.0,4089,0,48,23705,1,1424,49,25129,NORMAL,No,11871,13307,47.1483040749861,52.8516959250139,10114,8625,820
_00197_20180315130155,1419,23665,25028,99.77675011959815,56,0.2232498804018498,23609,99.76336361715614,56,0.23663638284386226,24163,1687,25850,10055,237,9818,1918,191,1727,67262,3039,70301,29811,95.96639196497554,0,0.0,3961,0,56,23609,0,1419,56,25028,NORMAL,No,12769,12315,50.90495933662893,49.09504066337107,10055,8523,804
_00168_20180315130147,1453,24219,25613,99.77017762542847,59,0.2298223745715176,24160,99.75638961146207,59,0.24361038853792477,24474,1716,26190,10487,260,10227,1909,204,1705,69367,3127,72494,29958,96.43960855009014,0,0.0,3768,0,59,24160,0,1453,59,25613,SPIKE,No,12904,12768,50.26488002492988,49.73511997507011,10487,9269,1338
_00015_20180315130104,1458,24315,25715,99.774958289683,58,0.2250417103169984,24257,99.76146411680033,58,0.238535883199671,24355,1744,26099,10658,256,10402,1965,190,1775,69739,3181,72920,29940,96.38166366211692,0,0.0,3841,0,58,24257,0,1458,58,25715,SPIKE,No,13315,12458,51.66259263570403,48.33740736429597,10658,9527,1386
_00170_20180315130147,1426,23769,25140,99.78170271879341,55,0.2182972812065886,23714,99.76860616769741,55,0.23139383230257898,24094,1745,25839,10103,266,9837,1929,209,1720,67583,3139,70722,29838,96.05330929693537,0,0.0,3999,0,55,23714,0,1426,55,25140,NORMAL,No,11990,13205,47.58880730303632,52.41119269696368,10103,8714,895
_00169_20180315130147,1437,23952,25341,99.81094174642561,48,0.1890582535743826,23904,99.79959919839679,48,0.2004008016032064,24214,1772,25986,10366,255,10111,1907,184,1723,68357,3108,71465,29899,96.2496780839557,0,0.0,3913,0,48,23904,0,1437,48,25341,NORMAL,No,12577,12812,49.53720115010437,50.46279884989563,10366,9084,1120
