Capacity of Flows : ,23988
Size of IBLT : ,31064
Number of BF Hash Functions : ,7,Size of BF : ,229929
Epoch name,noOfMalFlows,totalBenignFlows,all_decodable_count,all_decodable_percent,all_undecodable_count,all_undecodable_percent,benign_decodable_count,benign_decodable_percent,benign_undecodable_count,benign_undecodable_percent,purecell_ben_collision,purecell_mal_collision,purecell_all_collision,completely_colliding_flows,completely_colliding_mal_flows,completely_colliding_ben_flows,non_colliding_flows,non_colliding_mal_flows,non_colliding_ben_flows,collisions_by_benignflows,collisions_by_maliciousflows,collisions_by_allflows,cells_occupied_epochend,cells_occupied_epochend_percent,cells_occupied_decodeend,cells_occupied_decodeend_percent,purecell_count_before_decode,purecell_count_after_decode,no_of_benign_flows_classified_as_old,no_of_benign_flows_classified_as_new,no_of_malicious_flows_classified_as_old,no_of_malicious_flows_classified_as_new,total_flows_classified_as_old,total_flows_classified_as_new,catergory_of_flows,Pollution ?,pre_mit_decodable,pre_mit_undecodable,pre_mit_decodable_percent,pre_mit_undecodable_percent,NumberofSampledFlows,Sampled Flows after nonMitigated SD,Flows used for mitigation
_00179_20180315130150,235,23542,23746,99.86962190352021,31,0.1303780964797914,23511,99.86832044856003,31,0.13167955143997961,24986,118,25104,8973,0,8973,1931,130,1801,65194,138,65332,29652,95.45454545454545,0,0.0,4548,0,31,23511,0,235,31,23746,NORMAL,No,0,0,0.0,0.0,8973,0,0
_00003_20180315130100,238,23858,24058,99.84229747675963,38,0.15770252324037184,23820,99.84072428535502,38,0.1592757146449828,25268,98,25366,9172,0,9172,1914,152,1762,66441,110,66551,29681,95.5479011073912,0,0.0,4315,0,38,23820,0,238,38,24058,NORMAL,No,11781,12315,48.891932270916335,51.108067729083665,9172,6693,63
_00036_20180315130110,238,23864,24060,99.82574060243962,42,0.17425939756036843,23822,99.8240026818639,42,0.17599731813610459,25222,124,25346,9172,0,9172,1947,131,1816,66418,145,66563,29677,95.53502446561937,0,0.0,4331,0,42,23822,0,238,42,24060,NORMAL,No,11248,12854,46.66832627997676,53.33167372002323,9172,6624,81
_00158_20180315130144,236,23698,23897,99.84540820589956,37,0.15459179410044288,23661,99.84386868090134,37,0.1561313190986581,25078,99,25177,9120,0,9120,1981,150,1831,65890,114,66004,29584,95.23564254442441,0,0.0,4407,0,37,23661,0,236,37,23897,NORMAL,No,0,0,0.0,0.0,9120,0,0
_00109_20180315130130,238,23841,24042,99.84633913368496,37,0.1536608663150463,23804,99.84480516756847,37,0.15519483243152551,25119,128,25247,9228,0,9228,1935,128,1807,66336,146,66482,29686,95.56399690960598,0,0.0,4439,0,37,23804,0,238,37,24042,NORMAL,No,11439,12640,47.506125669670666,52.49387433032934,9228,6593,71
_00164_20180315130145,239,23953,24159,99.86359126984127,33,0.13640873015873015,23920,99.86223020080992,33,0.1377697991900806,25125,134,25259,9375,0,9375,1934,123,1811,66843,150,66993,29643,95.42557301055885,0,0.0,4384,0,33,23920,0,239,33,24159,NORMAL,No,12095,12097,49.9958664021164,50.004133597883595,9375,7288,191
_00145_20180315130140,237,23753,23950,99.83326385994164,40,0.16673614005835766,23713,99.83160021891972,40,0.16839978108028458,25089,119,25208,9124,0,9124,1908,131,1777,65962,133,66095,29705,95.62516095802215,0,0.0,4497,0,40,23713,0,237,40,23950,NORMAL,No,0,0,0.0,0.0,9124,0,0
_00197_20180315130155,236,23665,23855,99.8075394334965,46,0.19246056650349358,23619,99.80562011409255,46,0.19437988590745828,25083,114,25197,9026,1,9025,1924,144,1780,65673,127,65800,29620,95.35153232037085,0,0.0,4423,0,46,23619,0,236,46,23855,NORMAL,No,0,0,0.0,0.0,9026,0,0
_00168_20180315130147,242,24219,24420,99.83238624749602,41,0.16761375250398594,24178,99.83071142491433,41,0.16928857508567652,25414,131,25545,9497,0,9497,1909,138,1771,67768,146,67914,29766,95.82152974504248,0,0.0,4221,0,41,24178,0,242,41,24420,SPIKE,No,11347,13114,46.38812804055435,53.611871959445644,9497,7679,395
_00015_20180315130104,243,24315,24511,99.80861633683524,47,0.19138366316475283,24268,99.80670368085543,47,0.19329631914456097,25322,151,25473,9620,0,9620,1959,127,1832,68132,162,68294,29750,95.77002317795518,0,0.0,4277,0,47,24268,0,243,47,24511,SPIKE,No,11790,12768,48.00879550451992,51.99120449548009,9620,7753,370
_00170_20180315130147,237,23769,23968,99.84170624010665,38,0.15829375989336,23731,99.84012789768185,38,0.15987210231814547,25112,109,25221,9121,0,9121,1961,143,1818,66078,123,66201,29671,95.51570950296163,0,0.0,4450,0,38,23731,0,237,38,23968,NORMAL,No,0,0,0.0,0.0,9121,0,0
_00169_20180315130147,239,23952,24149,99.82638171220702,42,0.17361828779298086,23910,99.8246492985972,42,0.17535070140280562,25247,121,25368,9405,0,9405,1948,141,1807,66780,132,66912,29684,95.55755858872006,0,0.0,4316,0,42,23910,0,239,42,24149,NORMAL,No,11104,13087,45.90136827745856,54.09863172254145,9405,7013,112
_00089_20180315130124,242,24244,24441,99.81622151433473,45,0.1837784856652781,24199,99.81438706484079,45,0.18561293515921465,25482,95,25577,9553,0,9553,1993,157,1836,67926,103,68029,29735,95.72173577131085,0,0.0,4158,0,45,24199,0,242,45,24441,SPIKE,No,11774,12712,48.08461978273299,51.91538021726701,9553,7645,375
_00035_20180315130109,240,24027,24223,99.81868380928833,44,0.18131619071166605,23983,99.81687268489617,44,0.1831273151038415,25196,123,25319,9280,1,9279,1892,135,1757,67028,139,67167,29725,95.68954416688128,0,0.0,4406,0,44,23983,0,240,44,24223,SPIKE,No,12285,11982,50.6243046112004,49.375695388799606,9280,6709,65
_00006_20180315130101,239,23981,24185,99.85549132947978,35,0.1445086705202312,23946,99.85405112380634,35,0.14594887619365332,25290,93,25383,9323,1,9322,1955,159,1796,66942,104,67046,29694,95.58975019314963,0,0.0,4311,0,35,23946,0,239,35,24185,NORMAL,No,11565,12655,47.74979355904211,52.25020644095789,9323,7066,195
_00102_20180315130128,238,23839,24029,99.80063961456992,48,0.1993603854300785,23791,99.79864927220102,48,0.20135072779898486,25134,140,25274,9261,0,9261,1903,124,1779,66338,154,66492,29624,95.36440896214268,0,0.0,4350,0,48,23791,0,238,48,24029,NORMAL,No,11597,12480,48.166299788179586,51.833700211820414,9261,6800,94
_00053_20180315130114,241,24129,24333,99.84817398440707,37,0.15182601559294215,24092,99.84665754900742,37,0.15334245099258154,25450,112,25562,9576,0,9576,1946,140,1806,67491,127,67618,29714,95.65413340200875,0,0.0,4152,0,37,24092,0,241,37,24333,SPIKE,No,11492,12878,47.15633976200246,52.84366023799754,9576,7625,311
_00195_20180315130154,241,24158,24353,99.81146768310177,46,0.18853231689823355,24112,99.80958688633164,46,0.19041311366835004,25339,110,25449,9447,0,9447,1941,141,1800,67628,128,67756,29656,95.46742209631728,0,0.0,4207,0,46,24112,0,241,46,24353,SPIKE,No,12256,12143,50.23156686749457,49.76843313250543,9447,7460,310
_00094_20180315130126,240,24090,24288,99.82737361282368,42,0.1726263871763255,24048,99.82565379825654,42,0.17434620174346202,25320,145,25465,9393,0,9393,1918,118,1800,67274,164,67438,29714,95.65413340200875,0,0.0,4249,0,42,24048,0,240,42,24288,SPIKE,No,11525,12805,47.36950267159885,52.63049732840115,9393,7347,290
_00111_20180315130131,239,23913,24119,99.86336535276583,33,0.1366346472341835,23880,99.86199974909046,33,0.1380002509095471,25209,142,25351,9320,1,9319,1932,118,1814,66662,163,66825,29651,95.4513262941025,0,0.0,4300,0,33,23880,0,239,33,24119,NORMAL,No,11435,12717,47.34597548857237,52.65402451142762,9320,6985,126
_00148_20180315130141,237,23794,23990,99.82938704173776,41,0.1706129582622446,23753,99.82768765234933,41,0.17231234765066825,25200,121,25321,9129,0,9129,1944,131,1813,66180,136,66316,29644,95.4287921710018,0,0.0,4323,0,41,23753,0,237,41,23990,NORMAL,No,0,0,0.0,0.0,9129,0,0
