Capacity of Flows : ,23988
Size of IBLT : ,31064
Number of BF Hash Functions : ,7,Size of BF : ,229929
Epoch name,noOfMalFlows,totalBenignFlows,all_decodable_count,all_decodable_percent,all_undecodable_count,all_undecodable_percent,benign_decodable_count,benign_decodable_percent,benign_undecodable_count,benign_undecodable_percent,purecell_ben_collision,purecell_mal_collision,purecell_all_collision,completely_colliding_flows,completely_colliding_mal_flows,completely_colliding_ben_flows,non_colliding_flows,non_colliding_mal_flows,non_colliding_ben_flows,collisions_by_benignflows,collisions_by_maliciousflows,collisions_by_allflows,cells_occupied_epochend,cells_occupied_epochend_percent,cells_occupied_decodeend,cells_occupied_decodeend_percent,purecell_count_before_decode,purecell_count_after_decode,no_of_benign_flows_classified_as_old,no_of_benign_flows_classified_as_new,no_of_malicious_flows_classified_as_old,no_of_malicious_flows_classified_as_new,total_flows_classified_as_old,total_flows_classified_as_new,catergory_of_flows,Pollution ?,pre_mit_decodable,pre_mit_undecodable,pre_mit_decodable_percent,pre_mit_undecodable_percent,NumberofSampledFlows,Sampled Flows after nonMitigated SD,Flows used for mitigation
_00179_20180315130150,1177,23542,24679,99.83818115619563,40,0.161818843804361,23502,99.83009090136777,40,0.16990909863223175,24314,1326,25640,9778,126,9652,1938,217,1721,66722,2189,68911,29805,95.9470770023178,0,0.0,4165,0,40,23502,0,1177,40,24679,NORMAL,No,12501,12218,50.57243415995792,49.42756584004207,9778,8035,553
_00003_20180315130100,1192,23858,25002,99.80838323353294,48,0.19161676646706588,23810,99.79880962360633,48,0.20119037639366252,24410,1429,25839,9956,162,9794,1898,176,1722,67713,2438,70151,29857,96.11447334535154,0,0.0,4018,0,48,23810,0,1192,48,25002,NORMAL,No,11442,13608,45.67664670658683,54.32335329341318,9956,8460,797
_00036_20180315130110,1193,23864,25003,99.78449135969989,54,0.21550864030011574,23810,99.77371773382501,54,0.2262822661749916,24431,1377,25808,10020,144,9876,1952,220,1732,67919,2261,70180,29832,96.03399433427762,0,0.0,4024,0,54,23810,0,1193,54,25003,NORMAL,No,12459,12598,49.72263239813226,50.27736760186774,10020,8443,798
_00158_20180315130144,1184,23698,24840,99.83120327947914,42,0.16879672052085845,23656,99.82276985399612,42,0.1772301460038822,24293,1428,25721,9945,141,9804,1973,199,1774,67288,2318,69606,29754,95.78289981972702,0,0.0,4033,0,42,23656,0,1184,42,24840,NORMAL,No,12882,12000,51.772365565469016,48.227634434530984,9945,8452,721
_00109_20180315130130,1192,23841,24977,99.77629529021691,56,0.22370470978308635,23785,99.76511052388743,56,0.23488947611257915,24342,1421,25763,10036,163,9873,1945,193,1752,67731,2356,70087,29821,95.9985835694051,0,0.0,4058,0,56,23785,0,1192,56,24977,NORMAL,No,12592,12441,50.301601885511126,49.698398114488874,10036,8547,899
_00164_20180315130145,1197,23953,25106,99.82504970178925,44,0.1749502982107356,23909,99.81630693441322,44,0.18369306558677412,24379,1384,25763,10151,149,10002,1960,186,1774,68280,2330,70610,29814,95.9760494463044,0,0.0,4051,0,44,23909,0,1197,44,25106,NORMAL,No,12382,12768,49.232604373757454,50.76739562624254,10151,8852,870
_00145_20180315130140,1187,23753,24885,99.77947072975141,55,0.22052927024859664,23699,99.77266029554161,54,0.22733970445838422,24351,1401,25752,9913,146,9767,1923,206,1717,67385,2287,69672,29868,96.14988411022405,0,0.0,4116,0,54,23699,1,1186,55,24885,NORMAL,No,11989,12951,48.071371291098636,51.92862870890136,9913,8221,583
_00197_20180315130155,1183,23665,24797,99.79475209272375,51,0.20524790727623954,23614,99.78449186562433,51,0.21550813437566027,24377,1338,25715,9824,131,9693,1920,202,1718,67176,2237,69413,29775,95.8505021890291,0,0.0,4060,0,51,23614,0,1183,51,24797,NORMAL,No,12470,12378,50.18512556342563,49.81487443657437,9824,8157,618
_00168_20180315130147,1210,24219,25371,99.77191395650635,58,0.228086043493649,24161,99.76051860109831,58,0.23948139890168874,24609,1452,26061,10270,158,10112,1909,183,1726,69133,2452,71585,29899,96.2496780839557,0,0.0,3838,0,58,24161,0,1210,58,25371,SPIKE,No,12349,13080,48.562664674190884,51.437335325809116,10270,9040,1166
_00015_20180315130104,1215,24315,25470,99.76498237367802,60,0.23501762632197415,24255,99.75323874151758,60,0.24676125848241826,24547,1445,25992,10440,150,10290,1958,197,1761,69646,2328,71974,29906,96.2722122070564,0,0.0,3914,0,60,24255,0,1215,60,25470,SPIKE,No,11996,13534,46.98785742264003,53.01214257735997,10440,9242,1148
_00170_20180315130147,1188,23769,24908,99.80366229915455,49,0.19633770084545418,23720,99.79384913122134,49,0.2061508687786613,24395,1380,25775,9957,148,9809,1952,210,1742,67515,2287,69802,29830,96.02755601339172,0,0.0,4055,0,49,23720,0,1188,49,24908,NORMAL,No,12182,12775,48.811956565292306,51.188043434707694,9957,8426,785
_00169_20180315130147,1197,23952,25094,99.78130343154797,55,0.21869656845202595,23897,99.77037408149633,55,0.229625918503674,24455,1423,25878,10185,147,10038,1944,207,1737,68258,2278,70536,29840,96.05974761782127,0,0.0,3962,0,55,23897,0,1197,55,25094,NORMAL,No,12235,12914,48.65004572746432,51.34995427253569,10185,8745,953
_00089_20180315130124,1212,24244,25399,99.77608422375864,57,0.22391577624135767,24187,99.76489028213166,57,0.23510971786833856,24649,1443,26092,10376,145,10231,1942,183,1759,69297,2390,71687,29909,96.28186968838527,0,0.0,3817,0,57,24187,0,1212,57,25399,SPIKE,No,12657,12799,49.72108736643621,50.2789126335638,10376,9115,1171
_00035_20180315130109,1201,24027,25183,99.8216267639131,45,0.1783732360868876,23982,99.81271070046198,45,0.18728929953801973,24404,1406,25810,10072,156,9916,1830,186,1644,68547,2307,70854,29878,96.18207571465362,0,0.0,4068,0,45,23982,0,1201,45,25183,SPIKE,No,12155,13073,48.18059299191375,51.81940700808625,10072,8677,912
_00006_20180315130101,1199,23981,25128,99.79348689436061,52,0.20651310563939632,23929,99.78316166965514,52,0.21683833034485633,24509,1364,25873,10128,144,9984,1972,203,1769,68319,2346,70665,29847,96.08228174092197,0,0.0,3974,0,52,23929,0,1199,52,25128,NORMAL,No,11926,13254,47.362986497220014,52.637013502779986,10128,8762,928
_00102_20180315130128,1191,23839,24970,99.76028765481423,60,0.23971234518577705,23779,99.74831159025128,60,0.2516884097487311,24352,1433,25785,10055,152,9903,1911,191,1720,67764,2335,70099,29781,95.86981715168685,0,0.0,3996,0,60,23779,0,1191,60,24970,NORMAL,No,12199,12831,48.73751498202157,51.26248501797842,10055,8620,760
_00053_20180315130114,1206,24129,25284,99.79869745411486,51,0.20130254588513913,24078,99.78863608106427,51,0.21136391893572049,24550,1497,26047,10357,171,10186,1964,176,1788,68825,2464,71289,29847,96.08228174092197,0,0.0,3800,0,51,24078,0,1206,51,25284,SPIKE,No,12726,12609,50.230905861456485,49.769094138543515,10357,9043,1024
_00195_20180315130154,1207,24158,25307,99.77133845850582,58,0.2286615414941849,24100,99.75991390015729,58,0.24008609984270218,24480,1450,25930,10234,141,10093,1932,180,1752,68967,2435,71402,29826,96.01467937161988,0,0.0,3896,0,58,24100,0,1207,58,25307,SPIKE,No,12020,13345,47.38813325448453,52.61186674551548,10234,8926,1095
_00094_20180315130126,1204,24090,25234,99.7627895943702,60,0.23721040562979362,24030,99.75093399750934,60,0.24906600249066002,24543,1451,25994,10226,152,10074,1940,189,1751,68669,2413,71082,29854,96.10481586402267,0,0.0,3860,0,60,24030,0,1204,60,25234,SPIKE,No,11652,13642,46.06626077330592,53.93373922669408,10226,8882,988
_00111_20180315130131,1195,23913,25067,99.83670543253147,41,0.16329456746853593,23872,99.82854514280936,41,0.17145485719064943,24450,1383,25833,10116,141,9975,1947,209,1738,68169,2275,70444,29824,96.00824105073397,0,0.0,3991,0,41,23872,0,1195,41,25067,NORMAL,No,12181,12927,48.51441771546917,51.48558228453083,10116,8635,837
_00148_20180315130141,1189,23794,24932,99.79586118560621,51,0.20413881439378775,23743,99.7856602504833,51,0.21433974951668489,24336,1435,25771,9918,139,9779,1943,192,1751,67614,2328,69942,29786,95.88591295390162,0,0.0,4015,0,51,23743,0,1189,51,24932,NORMAL,No,12002,12981,48.04066765400472,51.95933234599528,9918,8457,789
