Capacity of Flows : ,23988
Size of IBLT : ,31064
Number of BF Hash Functions : ,7,Size of BF : ,229929
Epoch name,noOfMalFlows,totalBenignFlows,all_decodable_count,all_decodable_percent,all_undecodable_count,all_undecodable_percent,benign_decodable_count,benign_decodable_percent,benign_undecodable_count,benign_undecodable_percent,purecell_ben_collision,purecell_mal_collision,purecell_all_collision,completely_colliding_flows,completely_colliding_mal_flows,completely_colliding_ben_flows,non_colliding_flows,non_colliding_mal_flows,non_colliding_ben_flows,collisions_by_benignflows,collisions_by_maliciousflows,collisions_by_allflows,cells_occupied_epochend,cells_occupied_epochend_percent,cells_occupied_decodeend,cells_occupied_decodeend_percent,purecell_count_before_decode,purecell_count_after_decode,no_of_benign_flows_classified_as_old,no_of_benign_flows_classified_as_new,no_of_malicious_flows_classified_as_old,no_of_malicious_flows_classified_as_new,total_flows_classified_as_old,total_flows_classified_as_new,catergory_of_flows,Pollution ?,pre_mit_decodable,pre_mit_undecodable,pre_mit_decodable_percent,pre_mit_undecodable_percent,NumberofSampledFlows,Sampled Flows after nonMitigated SD,Flows used for mitigation
_00179_20180315130150,70,23542,23587,99.89412163306794,25,0.10587836693206844,23517,99.89380681335486,25,0.10619318664514485,24991,7,24998,8825,0,8825,1932,63,1869,64723,7,64730,29618,95.34509399948493,0,0.0,4620,0,25,23517,0,70,25,23587,NORMAL,No,0,0,0.0,0.0,8825,0,0
_00003_20180315130100,71,23858,23893,99.84955493334448,36,0.15044506665552257,23822,99.84910721770476,36,0.15089278229524689,25245,6,25251,9032,0,9032,1909,65,1844,65905,6,65911,29661,95.48351789853207,0,0.0,4410,0,36,23822,0,71,36,23893,NORMAL,No,0,0,0.0,0.0,9032,0,0
_00036_20180315130110,71,23864,23895,99.83288071861291,40,0.16711928138709004,23824,99.83238350653704,40,0.16761649346295676,25256,14,25270,9043,0,9043,1955,60,1895,65923,14,65937,29643,95.42557301055885,0,0.0,4373,0,40,23824,0,71,40,23895,NORMAL,No,0,0,0.0,0.0,9043,0,0
_00158_20180315130144,71,23698,23736,99.86116370061845,33,0.1388362993815474,23665,99.86074774242553,33,0.13925225757447887,25103,10,25113,9010,0,9010,1982,62,1920,65386,10,65396,29548,95.11975276847798,0,0.0,4435,0,33,23665,0,71,33,23736,NORMAL,No,0,0,0.0,0.0,9010,0,0
_00109_20180315130130,71,23841,23872,99.8327199732352,40,0.16728002676480427,23801,99.83222180277673,40,0.16777819722327084,25131,16,25147,9097,0,9097,1937,56,1881,65826,17,65843,29645,95.43201133144476,0,0.0,4498,0,40,23801,0,71,40,23872,NORMAL,No,0,0,0.0,0.0,9097,0,0
_00164_20180315130145,71,23953,23994,99.87512487512488,30,0.12487512487512488,23923,99.87475472800902,30,0.12524527199098234,25186,9,25195,9226,0,9226,1958,63,1895,66353,9,66362,29614,95.3322173577131,0,0.0,4419,0,30,23923,0,71,30,23994,NORMAL,No,11304,12720,47.052947052947054,52.94705294705294,9226,6872,68
_00145_20180315130140,71,23753,23785,99.83629952988584,39,0.16370047011417058,23714,99.83581021344672,39,0.16418978655327748,25100,16,25116,8986,0,8986,1917,56,1861,65434,16,65450,29690,95.5768735513778,0,0.0,4574,0,39,23714,0,71,39,23785,NORMAL,No,0,0,0.0,0.0,8986,0,0
_00197_20180315130155,70,23665,23691,99.81461975984833,44,0.18538024015167476,23621,99.81407141347982,44,0.1859285865201775,25084,7,25091,8890,0,8890,1926,64,1862,65159,8,65167,29597,95.27749163018285,0,0.0,4506,0,44,23621,0,70,44,23691,NORMAL,No,0,0,0.0,0.0,8890,0,0
_00168_20180315130147,72,24219,24248,99.82297970441726,43,0.1770202955827261,24176,99.82245344564186,43,0.17754655435814856,25455,11,25466,9374,0,9374,1916,62,1854,67244,11,67255,29737,95.72817409219677,0,0.0,4271,0,43,24176,0,72,43,24248,SPIKE,No,11430,12861,47.05446461652464,52.94553538347536,9374,7414,276
_00015_20180315130104,72,24315,24344,99.82367654898101,43,0.17632345101898553,24272,99.82315443142093,43,0.17684556857906641,25382,12,25394,9475,0,9475,1973,59,1914,67638,15,67653,29723,95.68310584599537,0,0.0,4329,0,43,24272,0,72,43,24344,SPIKE,No,12314,12073,50.49411571739041,49.505884282609586,9475,7409,247
_00170_20180315130147,71,23769,23802,99.84060402684564,38,0.1593959731543624,23731,99.84012789768185,38,0.15987210231814547,25112,12,25124,8993,0,8993,1939,61,1878,65553,12,65565,29643,95.42557301055885,0,0.0,4519,0,38,23731,0,71,38,23802,NORMAL,No,0,0,0.0,0.0,8993,0,0
